"date","home.team","home.score","away.team","away.score"
"11/02/18","Celta",18,"Espanol",3
"11/02/18","Sevilla",13,"Girona",14
"11/02/18","Valencia",18,"Levante",5
"12/02/18","La Coruna",16,"Betis",10
"16/02/18","Girona",10,"Leganes",10
"17/02/18","Alaves",14,"La Coruna",5
"17/02/18","Eibar",13,"Barcelona",10
"17/02/18","Las Palmas",11,"Sevilla",12
"17/02/18","Malaga",9,"Valencia",10
"18/02/18","Ath Madrid",14,"Ath Bilbao",4
"18/02/18","Betis",20,"Real Madrid",12
"18/02/18","Espanol",15,"Villarreal",8
"18/02/18","Sociedad",13,"Levante",9
"19/02/18","Getafe",9,"Celta",4
"21/02/18","Leganes",7,"Real Madrid",13
"23/02/18","La Coruna",17,"Espanol",9
"24/02/18","Barcelona",21,"Girona",10
"24/02/18","Celta",8,"Eibar",15
"24/02/18","Leganes",11,"Las Palmas",4
"24/02/18","Real Madrid",25,"Alaves",11
"25/02/18","Ath Bilbao",8,"Malaga",8
"25/02/18","Sevilla",10,"Ath Madrid",13
"25/02/18","Valencia",7,"Sociedad",9
"25/02/18","Villarreal",10,"Getafe",3
"26/02/18","Levante",12,"Betis",15
"27/02/18","Espanol",16,"Real Madrid",12
"27/02/18","Girona",11,"Celta",10
"28/02/18","Ath Bilbao",11,"Valencia",6
"28/02/18","Ath Madrid",15,"Leganes",9
"28/02/18","Eibar",13,"Villarreal",11
"28/02/18","Getafe",14,"La Coruna",9
"28/02/18","Malaga",8,"Sevilla",6
"01/03/18","Alaves",15,"Levante",6
"01/03/18","Betis",8,"Sociedad",13
"01/03/18","Las Palmas",12,"Barcelona",10
"03/03/18","La Coruna",7,"Eibar",16
"03/03/18","Leganes",10,"Malaga",4
"03/03/18","Real Madrid",14,"Getafe",4
"03/03/18","Sevilla",18,"Ath Bilbao",10
"03/03/18","Villarreal",14,"Girona",4
"04/03/18","Barcelona",16,"Ath Madrid",6
"04/03/18","Levante",13,"Espanol",15
"04/03/18","Sociedad",14,"Alaves",3
"04/03/18","Valencia",12,"Betis",9
